,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Investments,18438000000.0,2876000000.0,6980000000.0,540000000.0
Change To Liabilities,8052000000.0,7431000000.0,5230000000.0,4694000000.0
Total Cashflows From Investing Activities,-30311000000.0,-27577000000.0,-12223000000.0,-15773000000.0
Net Borrowings,-9023000000.0,-3750000000.0,-5518000000.0,-4000000000.0
Total Cash From Financing Activities,-58876000000.0,-48486000000.0,-46031000000.0,-36887000000.0
Change To Operating Activities,-345000000.0,1160000000.0,-673000000.0,-1542000000.0
Issuance Of Stock,1841000000.0,1693000000.0,1343000000.0,1142000000.0
Net Income,72738000000.0,61271000000.0,44281000000.0,39240000000.0
Change In Cash,-293000000.0,648000000.0,2220000000.0,-590000000.0
Repurchase Of Stock,-32696000000.0,-27385000000.0,-22968000000.0,-19543000000.0
Effect Of Exchange Rate,-141000000.0,-29000000.0,-201000000.0,-115000000.0
Total Cash From Operating Activities,89035000000.0,76740000000.0,60675000000.0,52185000000.0
Depreciation,14600000000.0,10900000000.0,12300000000.0,11600000000.0
Other Cashflows From Investing Activities,-2825000000.0,-922000000.0,-1241000000.0,-1241000000.0
Dividends Paid,-18135000000.0,-16521000000.0,-15137000000.0,-13811000000.0
Change To Inventory,-1123000000.0,-737000000.0,168000000.0,597000000.0
Change To Account Receivables,-6834000000.0,-6481000000.0,-2577000000.0,-2812000000.0
Other Cashflows From Financing Activities,-863000000.0,-2523000000.0,-3751000000.0,-675000000.0
Change To Netincome,1251000000.0,5505000000.0,5577000000.0,-2521000000.0
Capital Expenditures,-23886000000.0,-20622000000.0,-15441000000.0,-13925000000.0
