SILVER,GOLD
3.69%,3.64%
8.62%,-1.84%
-1.82%,2.93%
0.36%,-0.53%
-4.94%,1.56%
8.63%,-3.38%
-8.16%,0.05%
-6.03%,2.33%
-2.47%,-6.98%
-6.50%,7.62%
8.10%,3.09%
5.64%,-1.06%
-7.22%,-6.38%
-1.90%,-2.85%
1.81%,6.50%
16.82%,-5.82%
-5.18%,-0.75%
0.74%,-4.32%
-17.79%,-0.86%
15.90%,10.37%
30.79%,3.36%
1.35%,3.71%
23.04%,6.63%
6.54%,0.63%
-14.75%,-1.81%
-8.99%,3.73%
0.37%,3.77%
4.41%,-2.97%
-5.74%,2.80%
6.35%,-3.11%
-6.85%,6.10%
10.70%,1.40%
6.97%,7.03%
4.48%,1.28%
-3.15%,-0.74%
3.01%,-1.81%
-1.56%,-0.63%
-3.02%,2.74%
3.82%,4.21%
9.50%,0.35%
-0.95%,1.54%
-2.69%,-0.70%
1.28%,-2.45%
-6.85%,-2.52%
-3.75%,-3.68%
-1.82%,-1.70%
0.55%,-0.48%
0.55%,0.48%
-0.62%,-1.40%
-5.12%,3.41%
0.84%,2.55%
4.14%,0.71%
-1.58%,-0.73%
0.23%,-2.23%
-4.99%,3.57%
4.36%,2.03%
1.10%,-2.56%
-4.61%,0.10%
1.03%,1.30%
-5.73%,-0.34%
-1.00%,3.29%
5.19%,4.64%
9.89%,-0.31%
-2.86%,-7.15%
-7.63%,-2.68%
-7.19%,0.18%
2.78%,-3.38%
-8.32%,2.96%
9.31%,8.33%
16.34%,-5.37%
-10.21%,4.72%
15.06%,0.60%
3.79%,9.59%
4.69%,3.65%
3.30%,-0.26%
-1.96%,-5.97%
-9.74%,0.98%
7.26%,-2.74%
-0.44%,2.86%
-1.15%,-6.90%
-5.18%,-0.77%
-6.79%,0.60%
3.47%,0.06%
-2.76%,-2.84%
0.41%,-5.43%
-3.95%,3.68%
10.45%,13.63%
0.49%,0.35%
-3.66%,-3.25%
-5.46%,-5.86%
-12.33%,0.35%
-4.79%,-3.06%
-3.02%,6.12%
12.62%,-3.86%
-2.44%,0.95%
-3.12%,-2.88%
-6.93%,6.56%
10.99%,3.18%
-1.21%,-3.89%
-3.21%,-5.52%
-8.48%,-0.22%
0.81%,-4.99%
-7.70%,6.38%
19.61%,7.24%
0.85%,-12.12%
-12.49%,-5.41%
-7.94%,-7.69%
-14.66%,1.08%
-0.36%,-4.99%
-9.38%,-0.85%
3.85%,-2.11%
-9.13%,-0.38%
2.84%,-3.03%
-6.46%,5.13%
10.03%,4.60%
12.46%,0.44%
1.14%,2.62%
-0.58%,-6.06%
-10.39%,-0.35%
-4.65%,-2.37%
CORRELATION,17.99%
